"","season","player","fotmob_id","team","pos","height","weight","age","foot","minutes","accurate_long_balls","accurate_passes","acted_as_sweeper","aerials_won","aerials_won_%","aerials_won_comp","assists","blocked_scoring_attempt","chances_created","chances_created_comp","clean_sheet_comp","clean_sheets","cross_accuracy","defensive_actions_comp","dispossessed","dribbled_past","dribbles","dribbles_success_rate","duels_won","duels_won_%","error_led_to_goal","fouls_won","goals","goals_comp","goals_conceded","goals_conceded_comp","goals_prevented","high_claims","interceptions","keeper_high_claim_comp","keeper_sweeper_actions_comp","long_ball_accuracy","long_ball_succeeeded_accuracy_comp","pass_accuracy","penalties_awarded","penalties_conceded","penalty_goals","penalty_goals_conceded","penalty_goals_faced","penalty_goals_saves","possession_won_final_3rd","recoveries","save_percentage","save_percentage_comp","saves","shot_attempts_comp","shots","shots_on_target","successful_crosses","tackles_won","tackles_won_%","touches","touches_comp","touches_in_opposition_box","xa","xg","xg_excl._penalty","xgot"
"1",2023,"David Raya",562727,"Arsenal","Keeper","183 cm","80","28","Right",900,5.6,NA,0.4,NA,NA,NA,NA,NA,NA,NA,0.757353007793427,0.4,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,1,0.911764979362488,-0.000961888631184896,1.3,NA,0.941175997257233,0.794117987155914,41.7910447761194,0.308824002742767,75.3894080996885,NA,NA,NA,0.1,0.1,0,NA,NA,60,0.448529005050659,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2023,"Aaron Ramsdale",746395,"Arsenal","Keeper","188 cm","77","25","Right",450,3.4,NA,0.6,NA,NA,NA,NA,NA,NA,NA,0.426470994949341,0.4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0.8,0.544117987155914,-0.00381622208489312,0.6,NA,0.132352992892265,0.588235020637512,31.4814814814815,0.0882352963089943,70.6349206349206,NA,NA,NA,NA,NA,NA,NA,NA,60,0.375,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2023,"Oleksandr Zinchenko",623621,"Arsenal","Left Back","175 cm","61","26","Left",873,3.4020618556701,68.8659793814433,NA,1.44329896907216,66.6666666666667,0.87636399269104,0.103092783505155,0.824742268041237,1.44329896907216,0.694544970989227,NA,NA,13.0434782608696,0.0909091010689735,0.721649484536082,0.412371134020619,0.309278350515464,50,4.94845360824742,66.6666666666667,NA,0.412371134020619,0.103092783505155,0.763635993003845,NA,NA,NA,NA,0.927835051546392,NA,NA,66,NA,90.5149051490515,NA,NA,NA,NA,NA,NA,0.309278350515464,5.97938144329897,NA,NA,NA,0.818181991577148,1.1340206185567,0.206185567010309,0.309278350515464,1.64948453608247,59.2592592592593,95.4639175257732,0.981818020343781,1.95876288659794,0.18046800623235,0.0372989706157409,0.0372989706157409,0.0518659832551307
"4",2023,"Takehiro Tomiyasu",664444,"Arsenal","Right Back","185 cm","70","25","Both",585,1.23076923076923,51.3846153846154,NA,2,61.9047619047619,0.949091017246246,0.153846153846154,0.461538461538462,0.153846153846154,0.116364002227783,NA,NA,14.2857142857143,0.549090981483459,0.461538461538462,0.461538461538462,0.615384615384615,57.1428571428571,4.46153846153846,55.7692307692308,NA,0.307692307692308,0.153846153846154,0.629091024398804,NA,NA,NA,NA,1.38461538461538,NA,NA,33.3333333333333,NA,85.8611825192802,NA,NA,NA,NA,NA,NA,0.307692307692308,4.92307692307692,NA,NA,NA,0.636363983154297,1.23076923076923,0.307692307692308,0.153846153846154,0.615384615384615,40,77.8461538461539,0.789090991020203,1.69230769230769,0.0555577874183655,0.079723073885991,0.079723073885991,0.117261538138756
"5",2023,"Ben White",776151,"Arsenal","Right Back","186 cm","72","26","Right",1051,2.6546146527117,56.2607040913416,NA,1.1988582302569,60.8695652173913,0.59272700548172,0.0856327307326356,NA,1.02759276879163,0.389091014862061,NA,NA,42.1052631578947,0.280000001192093,0.256898192197907,0.685061845861085,0.342530922930542,44.4444444444444,2.91151284490961,53.125,NA,0.256898192197907,0.0856327307326356,0.738182008266449,NA,NA,NA,NA,0.856327307326356,NA,NA,49.2063492063492,NA,85.7702349869452,NA,NA,NA,NA,NA,NA,0.342530922930542,3.76784015223597,NA,NA,NA,0.18181799352169,0.342530922930542,0.342530922930542,0.685061845861085,0.941960038058991,84.6153846153846,83.4919124643197,0.847272992134094,1.79828734538535,0.112609322245749,0.0410523293247459,0.0410523293247459,0.0341503317871057
"6",2023,"Gabriel",795179,"Arsenal","Center Back","190 cm","78","25","Left",1014,2.66272189349112,54.0532544378698,NA,2.57396449704142,63.0434782608696,0.818991005420685,0,0.355029585798817,0.177514792899408,0.183975994586945,NA,NA,NA,0.0979228019714355,0,0.177514792899408,0.0887573964497042,33.3333333333333,5.05917159763314,65.5172413793103,NA,1.15384615384615,0,0.507417976856232,NA,NA,NA,NA,1.06508875739645,NA,NA,42.2535211267606,NA,87.6258992805755,NA,NA,NA,NA,NA,NA,NA,3.46153846153846,NA,NA,NA,0.774480998516083,0.798816568047337,NA,NA,0.621301775147929,50,71.3609467455621,0.718101024627686,1.33136094674556,0.0155315799473305,0.0707218950316751,0.0707218950316751,0.00792603542995171
"7",2023,"Jurrien Timber",942381,"Arsenal","Center Back","179 cm","75","22","Right",50,NA,72,NA,1.8,100,0.0593472011387348,0,NA,NA,0.590503990650177,NA,NA,NA,0.178041994571686,0,NA,NA,NA,3.6,50,NA,NA,0,0.780414998531342,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.8888888888889,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,0.818991005420685,0,NA,NA,1.8,100,91.8,0.973294019699097,NA,0.0206218807026744,NA,NA,NA
"8",2023,"William Saliba",955406,"Arsenal","Center Back","193 cm","87","22","Right",1350,2.33333333333333,75,NA,1.86666666666667,54.9019607843137,0.53115701675415,0.0666666666666667,0.133333333333333,0.133333333333333,0.228486999869347,NA,NA,NA,0.0118693998083472,0.2,0.0666666666666667,0.133333333333333,40,3.13333333333333,56.6265060240964,NA,0.266666666666667,0.0666666666666667,0.62907999753952,NA,NA,NA,NA,0.6,NA,NA,59.3220338983051,NA,92.9752066115702,NA,0.0666666666666667,NA,NA,NA,NA,0.0666666666666667,5.33333333333333,NA,NA,NA,0.133531004190445,0.266666666666667,0.0666666666666667,NA,0.466666666666667,53.8461538461538,88.0666666666667,0.857567012310028,0.266666666666667,0.0339021245638529,0.0476800004641215,0.0476800004641215,0.0650866667429606
"9",2023,"Jakub Kiwior",1021834,"Arsenal","Center Back","189 cm","80","23","Left",247,3.64372469635628,53.1983805668016,NA,0.364372469635628,25,0.923636019229889,0,0.364372469635628,NA,0.0290908999741077,NA,NA,33.3333333333333,0.501818001270294,0,NA,NA,NA,2.18623481781377,50,NA,0.364372469635628,0,0.770909011363983,NA,NA,NA,NA,NA,NA,NA,52.6315789473684,NA,86.9047619047619,NA,NA,NA,NA,NA,NA,NA,3.64372469635628,NA,NA,NA,0.505455017089844,0.728744939271255,0.364372469635628,0.364372469635628,1.09311740890688,75,76.8825910931174,0.632727026939392,1.82186234817814,0.0252679780668575,0.170744941060842,0.170744941060842,NA
"10",2023,"Jorginho",282775,"Arsenal","Central Midfielder","180 cm","65","31","Both",385,2.57142857142857,68.4935064935065,NA,0.467532467532468,25,0.346834987401962,0,0.467532467532468,0.701298701298701,0.30886098742485,NA,NA,33.3333333333333,0.379747003316879,0.701298701298701,1.4025974025974,0.233766233766234,100,4.67532467532468,54.0540540540541,NA,1.4025974025974,0,0.235442996025085,NA,NA,NA,NA,0.467532467532468,NA,NA,64.7058823529412,NA,92.4290220820189,NA,NA,NA,NA,NA,NA,0.233766233766234,4.20779220779221,NA,NA,NA,0.0683543980121613,0.701298701298701,NA,0.233766233766234,0.701298701298701,27.2727272727273,85.7922077922078,0.929113984107971,0.467532467532468,0.0704897278315061,0.0215298688256895,0.0215298688256895,NA
