player,season,fotmob_id,team,pos,height,weight,age,foot,minutes,accurate_long_balls,accurate_passes,acted_as_sweeper,aerials_won,aerials_won_%,aerials_won_comp,assists,blocked_scoring_attempt,chances_created,chances_created_comp,clean_sheet_comp,clean_sheets,cross_accuracy,defensive_actions_comp,dispossessed,dribbled_past,dribbles,dribbles_success_rate,duels_won,duels_won_%,error_led_to_goal,fouls_won,goals,goals_comp,goals_conceded,goals_conceded_comp,goals_prevented,high_claims,interceptions,keeper_high_claim_comp,keeper_sweeper_actions_comp,long_ball_accuracy,long_ball_succeeeded_accuracy_comp,pass_accuracy,penalties_awarded,penalties_conceded,penalty_goals,penalty_goals_conceded,penalty_goals_faced,penalty_goals_saves,possession_won_final_3rd,recoveries,save_percentage,save_percentage_comp,saves,shot_attempts_comp,shots,shots_on_target,successful_crosses,tackles_won,tackles_won_%,touches,touches_comp,touches_in_opposition_box,xa,xg,xg_excl._penalty,xgot
Gabriel Jesus,2023,576165,Arsenal,Striker,175 cm,73.0,26,Right,587,0.153321976149915,22.3850085178876,,1.37989778534923,32.1428571428571,0.450980007648468,0.153321976149915,0.613287904599659,1.53321976149915,0.700980007648468,,,,0.921568989753723,2.75979557069847,1.53321976149915,2.29982964224872,57.6923076923077,7.35945485519591,41.025641025641,,1.83986371379898,0.30664395229983,0.725489974021912,,,,,0.766609880749574,,,100.0,,77.6595744680851,,,,,,,1.68654173764906,4.29301533219761,,,,0.622548997402191,2.91311754684838,1.37989778534923,,1.22657580919932,66.6666666666667,52.129471890971,0.941175997257233,9.04599659284497,0.1206725013317,0.544737660702083,0.544737660702083,0.459122682145751
Kai Havertz,2023,749736,Arsenal,Striker,193 cm,77.0,24,Both,828,0.326086956521739,28.695652173913,,3.26086956521739,50.0,0.69607800245285,0.108695652173913,0.543478260869565,1.41304347826087,0.85294097661972,,,,0.960784018039703,1.19565217391304,0.760869565217391,0.434782608695652,40.0,7.17391304347826,49.6240601503759,,1.52173913043478,0.326086956521739,0.171569004654884,,,,,0.760869565217391,,,50.0,,80.9815950920245,,,0.108695652173913,,,,0.869565217391304,4.1304347826087,,,,0.372548997402191,2.06521739130435,0.326086956521739,,0.869565217391304,44.4444444444444,50.3260869565217,0.926470994949341,6.08695652173913,0.1097880627798,0.361717395160509,0.276021750076957,0.245326083639394
Edward Nketiah,2023,860920,Arsenal,Striker,175 cm,72.0,24,Right,820,,13.8292682926829,,1.64634146341463,45.4545454545455,0.357843011617661,0.0,0.658536585365854,0.658536585365854,0.0686274990439415,,,,0.60294097661972,1.31707317073171,0.329268292682927,0.878048780487805,42.1052631578947,4.9390243902439,44.5544554455446,,1.86585365853659,0.548780487804878,0.64705902338028,,,,,0.329268292682927,,,,,82.8947368421053,0.219512195121951,,,,,,0.548780487804878,1.86585365853659,,,,0.774510025978088,2.96341463414634,0.878048780487805,,0.329268292682927,50.0,32.7073170731707,0.30392199754715,6.36585365853658,0.034367297844189,0.399051206867869,0.399051206867869,0.321091454203536
Cody Gakpo,2023,806552,Liverpool,Striker,193 cm,81.0,24,Right,589,0.305602716468591,20.9337860780985,,1.52801358234295,47.6190476190476,0.352941006422043,0.0,0.764006791171477,0.764006791171477,0.89705902338028,,,,0.754902005195618,0.611205432937182,1.06960950764007,1.83361629881155,60.0,7.02886247877759,52.2727272727273,,2.44482173174873,0.305602716468591,0.563724994659424,,,,,0.611205432937182,,,50.0,,78.7356321839081,,,,,,,1.22241086587436,4.27843803056027,,,,0.44607800245285,2.59762308998302,0.916808149405773,,0.611205432937182,50.0,46.2988115449915,0.848038971424103,4.58404074702886,0.0494427981522371,0.391736836101487,0.391736836101487,0.235604420177803
Darwin Nunez,2023,950561,Liverpool,Striker,185 cm,81.0,24,Right,797,0.225846925972396,16.7126725219573,,1.12923462986198,33.3333333333333,0.382353007793427,0.564617314930991,0.903387703889586,1.12923462986198,0.578431010246277,,,,0.475490003824234,1.58092848180678,0.677540777917189,0.451693851944793,26.6666666666667,3.38770388958595,33.3333333333333,,0.790464240903388,0.451693851944793,0.75,,,,,0.112923462986198,,,20.0,,72.5490196078431,,,,,,,0.451693851944793,2.03262233375157,,,,0.980391979217529,4.85570890840652,2.03262233375157,,0.790464240903388,77.7777777777778,40.8782936010038,0.465685993432999,8.69510664993726,0.126584165518077,0.689713928002486,0.689713928002486,0.854491834508879
Ollie Watkins,2023,540088,Aston Villa,Striker,179 cm,70.0,27,Right,1309,0.0687547746371276,12.0320855614973,,1.16883116883117,35.4166666666667,0.401960998773575,0.412528647822765,0.687547746371276,1.65011459129106,0.691175997257233,,,50.0,0.215685993432999,1.30634071810542,0.206264323911383,0.550038197097021,47.0588235294118,3.09396485867074,39.8230088495575,,1.03132161955691,0.550038197097021,0.818626999855042,,,,,0.137509549274255,,,20.0,,76.0869565217391,0.137509549274255,,,,,,0.618792971734148,2.06264323911383,,,,0.637255012989044,3.09396485867074,1.30634071810542,0.0687547746371276,0.27501909854851,80.0,28.7394957983193,0.0539215989410877,7.15049656226127,0.122182525870816,0.562063410957867,0.562063410957867,0.588980937750855
Leon Bailey,2023,671331,Aston Villa,Striker,181 cm,70.0,26,Left,546,1.64835164835165,25.8791208791209,,0.659340659340659,33.3333333333333,0.142157003283501,0.494505494505495,0.824175824175824,2.14285714285714,0.941175997257233,,,25.0,0.426470994949341,2.30769230769231,0.659340659340659,2.96703296703297,48.6486486486486,4.61538461538461,34.5679012345679,,0.989010989010989,0.824175824175824,0.200979992747307,,,,,0.824175824175824,,,76.9230769230769,,76.9607843137255,,,,,,,1.31868131868132,5.76923076923077,,,,0.568626999855042,3.46153846153846,1.31868131868132,0.824175824175824,,,56.8681318681319,0.862744987010956,7.58241758241758,0.346026184794667,0.439846161957625,0.439846161957625,0.445846175099467
Jhon Duran,2023,1088066,Aston Villa,Striker,185 cm,73.0,19,Left,95,,,,,,0.731706976890564,,,,0.639024019241333,,,,1.0,,,,,,,,,,0.795122027397156,,,,,,,,,,,,,,,,,,,,,,0.970731973648071,,,,,,,0.697561025619507,,,,,
Erling Haaland,2023,737066,Manchester City,Striker,194 cm,87.0,23,Left,1294,0.208655332302937,8.69397217928903,,1.32148377125193,46.3414634146341,0.519608020782471,0.278207109737249,0.62596599690881,1.112828438949,0.151960998773575,,,,0.0735293999314308,0.556414219474498,,0.417310664605873,54.5454545454545,3.06027820710974,50.0,,1.112828438949,0.973724884080371,0.980391979217529,,,,,0.0695517774343122,,,60.0,,74.4047619047619,0.0695517774343122,,0.208655332302937,,,,0.62596599690881,1.39103554868624,,,,0.94607800245285,4.03400309119011,2.15610510046368,,0.0695517774343122,33.3333333333333,22.3261205564142,0.0196077991276979,6.32921174652241,0.0834658507033146,1.02877512228728,0.809436655118255,0.939463647845355
Richarlison,2023,654908,Tottenham Hotspur,Striker,184 cm,83.0,26,Right,565,0.63716814159292,18.1592920353982,,1.91150442477876,30.0,0.455882012844086,0.47787610619469,0.79646017699115,1.11504424778761,0.64705902338028,,,10.0,0.627451002597809,3.1858407079646,0.31858407079646,0.95575221238938,33.3333333333333,5.73451327433628,33.6448598130841,,1.91150442477876,0.15929203539823,0.0637255012989044,,,,,0.79646017699115,,,57.1428571428571,,73.0769230769231,,,,,,,0.79646017699115,3.34513274336283,,,,0.607842981815338,3.82300884955752,1.11504424778761,0.15929203539823,0.63716814159292,66.6666666666667,50.6548672566372,0.622548997402191,8.44247787610619,0.117133093091239,0.482925647127945,0.482925647127945,0.225828326908888
